Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.492,0.395,1.47,0.419
2,1.442,0.449,1.433,0.455
3,1.413,0.482,1.412,0.478
4,1.391,0.506,1.396,0.492
5,1.37,0.529,1.39,0.504
6,1.353,0.547,1.38,0.516
7,1.341,0.559,1.377,0.517
8,1.331,0.572,1.381,0.512
9,1.321,0.584,1.373,0.522
10,1.312,0.592,1.373,0.524
11,1.304,0.601,1.369,0.528
12,1.298,0.606,1.365,0.535
13,1.294,0.611,1.365,0.531
14,1.287,0.619,1.356,0.543
15,1.28,0.625,1.356,0.544
16,1.276,0.629,1.358,0.54
17,1.271,0.635,1.357,0.542
18,1.267,0.639,1.356,0.542
19,1.263,0.643,1.35,0.545
20,1.258,0.648,1.348,0.55
