Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.524,0.354,1.487,0.403
2,1.462,0.429,1.468,0.416
3,1.444,0.448,1.456,0.437
4,1.423,0.473,1.439,0.456
5,1.405,0.492,1.434,0.464
6,1.392,0.507,1.432,0.458
7,1.383,0.517,1.424,0.47
8,1.376,0.525,1.42,0.476
9,1.367,0.533,1.416,0.483
10,1.359,0.541,1.412,0.482
11,1.35,0.551,1.404,0.488
12,1.341,0.561,1.404,0.49
13,1.334,0.568,1.395,0.501
14,1.326,0.578,1.394,0.503
15,1.321,0.582,1.383,0.509
16,1.311,0.595,1.383,0.512
17,1.303,0.604,1.366,0.533
18,1.295,0.611,1.37,0.527
19,1.29,0.617,1.367,0.528
20,1.285,0.621,1.363,0.537
