Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.309,0.594,1.264,0.634
2,1.236,0.67,1.263,0.637
3,1.221,0.683,1.237,0.662
4,1.21,0.695,1.239,0.66
5,1.201,0.703,1.238,0.662
6,1.195,0.71,1.233,0.666
7,1.19,0.714,1.23,0.669
8,1.183,0.721,1.232,0.665
9,1.178,0.727,1.23,0.666
10,1.175,0.73,1.228,0.67
11,1.171,0.735,1.236,0.662
12,1.167,0.739,1.226,0.676
13,1.165,0.741,1.23,0.669
14,1.161,0.744,1.226,0.674
15,1.158,0.747,1.227,0.674
16,1.156,0.75,1.225,0.675
17,1.153,0.752,1.224,0.676
18,1.151,0.755,1.23,0.672
19,1.147,0.759,1.227,0.673
20,1.145,0.761,1.232,0.668
