Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.261,0.647,1.21,0.698
2,1.189,0.716,1.198,0.705
3,1.171,0.733,1.189,0.709
4,1.157,0.748,1.176,0.728
5,1.148,0.758,1.177,0.725
6,1.141,0.765,1.165,0.737
7,1.135,0.772,1.165,0.735
8,1.129,0.777,1.162,0.738
9,1.126,0.779,1.164,0.737
10,1.122,0.783,1.155,0.751
11,1.119,0.788,1.156,0.746
12,1.116,0.789,1.156,0.746
13,1.114,0.794,1.154,0.747
14,1.11,0.797,1.157,0.747
15,1.108,0.799,1.158,0.742
16,1.106,0.801,1.15,0.753
17,1.104,0.803,1.157,0.746
18,1.101,0.805,1.156,0.746
19,1.098,0.808,1.148,0.755
20,1.096,0.81,1.148,0.753
