Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.236,0.674,1.19,0.716
2,1.177,0.726,1.19,0.709
3,1.164,0.738,1.171,0.735
4,1.156,0.748,1.173,0.727
5,1.152,0.753,1.166,0.737
6,1.144,0.76,1.163,0.74
7,1.136,0.769,1.166,0.734
8,1.131,0.773,1.164,0.738
9,1.128,0.777,1.167,0.734
10,1.124,0.781,1.163,0.738
11,1.121,0.783,1.164,0.736
12,1.118,0.787,1.161,0.74
13,1.116,0.789,1.172,0.727
14,1.114,0.791,1.164,0.738
15,1.112,0.793,1.168,0.734
16,1.11,0.795,1.161,0.74
17,1.107,0.799,1.153,0.751
18,1.107,0.799,1.157,0.744
19,1.104,0.802,1.154,0.75
20,1.102,0.804,1.16,0.742
