Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.485,0.389,1.37,0.531
2,1.312,0.588,1.315,0.583
3,1.289,0.609,1.308,0.591
4,1.28,0.62,1.297,0.596
5,1.276,0.622,1.304,0.592
6,1.273,0.623,1.296,0.596
7,1.269,0.629,1.293,0.605
8,1.267,0.63,1.293,0.603
9,1.265,0.633,1.297,0.599
10,1.262,0.636,1.291,0.605
11,1.259,0.64,1.285,0.612
12,1.256,0.642,1.287,0.613
13,1.254,0.645,1.282,0.613
14,1.254,0.644,1.284,0.61
15,1.25,0.649,1.281,0.617
16,1.249,0.651,1.302,0.593
17,1.249,0.649,1.285,0.609
18,1.247,0.652,1.287,0.607
19,1.248,0.652,1.284,0.612
20,1.244,0.656,1.286,0.609
