Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.289,0.617,1.263,0.644
2,1.231,0.674,1.252,0.652
3,1.217,0.69,1.244,0.656
4,1.208,0.697,1.236,0.67
5,1.201,0.705,1.236,0.668
6,1.194,0.712,1.229,0.674
7,1.189,0.717,1.231,0.672
8,1.184,0.722,1.228,0.674
9,1.179,0.728,1.232,0.665
10,1.174,0.733,1.227,0.672
11,1.172,0.736,1.222,0.679
12,1.168,0.738,1.223,0.679
13,1.164,0.742,1.22,0.683
14,1.161,0.747,1.221,0.679
15,1.158,0.75,1.224,0.673
16,1.154,0.755,1.221,0.681
17,1.152,0.757,1.221,0.683
18,1.149,0.759,1.214,0.689
19,1.146,0.762,1.212,0.691
20,1.144,0.765,1.216,0.689
