Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.214,0.691,1.199,0.702
2,1.165,0.737,1.175,0.726
3,1.15,0.754,1.163,0.739
4,1.137,0.766,1.16,0.742
5,1.126,0.777,1.153,0.751
6,1.119,0.784,1.161,0.737
7,1.115,0.789,1.152,0.75
8,1.111,0.793,1.17,0.733
9,1.108,0.796,1.157,0.746
10,1.105,0.799,1.15,0.751
11,1.102,0.802,1.153,0.75
12,1.099,0.806,1.152,0.748
13,1.097,0.808,1.151,0.75
14,1.095,0.809,1.154,0.748
15,1.093,0.811,1.154,0.749
16,1.09,0.816,1.146,0.755
17,1.089,0.815,1.146,0.758
18,1.087,0.819,1.157,0.744
19,1.085,0.819,1.154,0.749
20,1.084,0.821,1.152,0.751
