Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.268,0.636,1.246,0.654
2,1.217,0.683,1.24,0.659
3,1.204,0.698,1.232,0.668
4,1.196,0.706,1.222,0.679
5,1.188,0.714,1.226,0.675
6,1.182,0.721,1.222,0.679
7,1.176,0.727,1.237,0.663
8,1.17,0.733,1.22,0.68
9,1.164,0.739,1.212,0.693
10,1.162,0.742,1.215,0.683
11,1.157,0.747,1.215,0.686
12,1.152,0.751,1.214,0.684
13,1.149,0.754,1.203,0.696
14,1.144,0.761,1.199,0.702
15,1.141,0.763,1.206,0.694
16,1.138,0.767,1.2,0.701
17,1.136,0.768,1.202,0.702
18,1.131,0.775,1.209,0.693
19,1.13,0.775,1.201,0.697
20,1.127,0.778,1.203,0.697
