Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.346,0.561,1.301,0.609
2,1.259,0.649,1.275,0.632
3,1.243,0.663,1.266,0.636
4,1.235,0.669,1.258,0.645
5,1.229,0.675,1.256,0.645
6,1.224,0.679,1.254,0.644
7,1.219,0.686,1.257,0.644
8,1.216,0.688,1.253,0.646
9,1.213,0.692,1.25,0.652
10,1.209,0.696,1.251,0.651
11,1.207,0.697,1.246,0.654
12,1.204,0.7,1.242,0.657
13,1.201,0.705,1.242,0.656
14,1.2,0.704,1.239,0.664
15,1.197,0.707,1.241,0.66
16,1.194,0.711,1.238,0.664
17,1.192,0.715,1.242,0.66
18,1.19,0.717,1.239,0.663
19,1.189,0.718,1.24,0.66
20,1.187,0.72,1.238,0.662
