Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.297,0.618,1.224,0.691
2,1.203,0.706,1.198,0.711
3,1.187,0.717,1.187,0.717
4,1.175,0.732,1.181,0.721
5,1.166,0.741,1.179,0.729
6,1.157,0.75,1.174,0.731
7,1.151,0.756,1.17,0.733
8,1.147,0.759,1.17,0.735
9,1.144,0.763,1.169,0.733
10,1.141,0.765,1.167,0.736
11,1.138,0.768,1.164,0.738
12,1.136,0.771,1.17,0.733
13,1.133,0.773,1.168,0.734
14,1.131,0.776,1.163,0.742
15,1.129,0.778,1.163,0.74
16,1.128,0.778,1.159,0.742
17,1.127,0.78,1.161,0.74
18,1.126,0.781,1.161,0.74
19,1.124,0.783,1.168,0.734
20,1.123,0.784,1.16,0.742
