Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.297,0.618,1.225,0.689
2,1.21,0.697,1.207,0.701
3,1.188,0.724,1.192,0.716
4,1.173,0.739,1.189,0.719
5,1.165,0.746,1.183,0.724
6,1.159,0.751,1.177,0.728
7,1.154,0.755,1.178,0.729
8,1.15,0.759,1.174,0.733
9,1.147,0.762,1.173,0.73
10,1.145,0.763,1.169,0.736
11,1.142,0.767,1.175,0.728
12,1.141,0.769,1.173,0.73
13,1.138,0.771,1.174,0.73
14,1.137,0.771,1.171,0.73
15,1.136,0.774,1.173,0.73
16,1.134,0.776,1.17,0.734
17,1.132,0.777,1.169,0.739
18,1.131,0.779,1.163,0.739
19,1.13,0.78,1.166,0.735
20,1.128,0.783,1.164,0.74
