Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.353,0.554,1.296,0.614
2,1.261,0.652,1.267,0.652
3,1.241,0.674,1.258,0.651
4,1.231,0.68,1.253,0.656
5,1.224,0.688,1.254,0.654
6,1.218,0.692,1.245,0.663
7,1.214,0.696,1.245,0.657
8,1.21,0.699,1.244,0.666
9,1.207,0.7,1.244,0.657
10,1.204,0.704,1.237,0.67
11,1.201,0.706,1.243,0.66
12,1.199,0.71,1.241,0.661
13,1.197,0.711,1.234,0.675
14,1.195,0.713,1.236,0.668
15,1.194,0.715,1.235,0.668
16,1.192,0.717,1.235,0.665
17,1.19,0.719,1.234,0.668
18,1.189,0.721,1.238,0.663
19,1.187,0.722,1.23,0.67
20,1.186,0.723,1.229,0.675
