0,0.00465117,0.0995351,G4,78,80,0,2
1,0.00465117,0.0995351,B4,92,80,0,4
5,0.242791,0.353489,D5,65,80,0,5
6,0.360931,0.473024,E5,65,80,0,6
7,0.480466,0.701862,F#4,60,80,0,2
8,0.480466,0.715815,C5,74,80,0,5
12,0.71628,0.826048,D5,65,80,0,6
13,0.83349,0.945118,B4,65,80,0,4
14,0.95256,1.18093,G4,70,80,0,2
18,1.19535,1.30605,A4,65,80,0,5
19,1.31349,1.42558,B4,65,80,0,6
20,1.43303,1.65442,B3,95,80,0,1
21,1.43303,1.65442,D4,60,80,0,2
22,1.43303,1.66838,G4,74,80,0,4
25,1.66884,1.90465,G4,65,80,0,3
26,1.90512,2.00466,G4,78,80,0,1
27,1.90512,2.00466,B4,92,80,0,2
31,2.14791,2.25861,D5,65,80,0,4
32,2.26605,2.37814,E5,65,80,0,5
33,2.38559,2.60698,F#4,60,80,0,1
34,2.38559,2.62094,C5,74,80,0,3
38,2.6214,2.73117,D5,65,80,0,4
39,2.73861,2.85024,B4,65,80,0,3
40,2.85768,3.08605,G4,70,80,0,1
44,3.33815,3.80977,B3,94,80,0,1
45,3.33815,3.80977,D4,60,80,0,2
46,3.33815,3.80977,G4,74,80,0,3
49,3.81024,4.03861,G5,62,80,0,5
50,3.81024,4.05257,B5,76,80,0,2
54,4.05303,4.16373,D6,65,80,0,4
58,4.17117,4.28326,E6,65,80,0,5
59,4.29071,4.5121,F#5,60,80,0,1
60,4.29071,4.52606,C6,74,80,0,3
64,4.52652,4.63629,D6,65,80,0,4
68,4.64373,4.75536,B5,65,80,0,2
69,4.7628,4.99117,G5,70,80,0,1
73,5.00559,5.11629,A5,65,80,0,2
77,5.12373,5.23582,B5,65,80,0,4
78,5.24327,5.47862,B4,96,80,0,1
79,5.24327,5.47862,D5,60,80,0,2
80,5.24327,5.47862,G5,70,80,0,5
83,5.47908,5.70094,B4,57,80,0,1
84,5.47908,5.70094,D5,57,80,0,2
85,5.47908,5.71489,G5,71,80,0,4
88,5.71536,5.94373,G5,62,80,0,1
89,5.71536,5.95769,B5,76,80,0,2
93,5.95815,6.06885,D6,65,80,0,4
97,6.07629,6.18838,E6,65,80,0,5
98,6.19583,6.41722,F#5,60,80,0,1
99,6.19583,6.43118,C6,74,80,0,3
103,6.43164,6.54141,D6,65,80,0,4
107,6.54885,6.66048,B5,65,80,0,3
108,6.66792,6.89629,G5,70,80,0,1
115,7.14839,7.62001,B4,95,80,0,1
116,7.14839,7.62001,D5,60,80,0,2
117,7.14839,7.62001,G5,74,80,0,5
122,7.62048,7.84885,F#4,62,80,0,1
123,7.62048,7.86281,D5,76,80,0,3
126,7.86327,7.97397,D5,65,80,0,3
127,7.98141,8.0935,E5,65,80,0,4
128,8.10095,8.36467,F#4,57,80,0,1
129,8.10095,8.3363,C#5,71,80,0,3
132,8.33676,8.53676,D5,60,80,0,3
133,8.57304,8.80141,F#4,62,80,0,1
