Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.269,0.64,1.21,0.698
2,1.191,0.715,1.2,0.7
3,1.171,0.735,1.188,0.716
4,1.157,0.748,1.197,0.703
5,1.148,0.758,1.175,0.728
6,1.142,0.763,1.171,0.731
7,1.136,0.769,1.163,0.738
8,1.131,0.774,1.159,0.742
9,1.127,0.778,1.162,0.736
10,1.124,0.781,1.164,0.738
11,1.12,0.786,1.159,0.741
12,1.118,0.788,1.154,0.748
13,1.114,0.792,1.156,0.745
14,1.112,0.794,1.158,0.744
15,1.108,0.799,1.151,0.751
16,1.107,0.799,1.149,0.757
17,1.102,0.805,1.152,0.751
18,1.101,0.806,1.15,0.75
19,1.099,0.807,1.153,0.748
20,1.098,0.809,1.154,0.747
