Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.269,0.64,1.204,0.708
2,1.18,0.729,1.186,0.719
3,1.164,0.742,1.177,0.724
4,1.154,0.752,1.173,0.732
5,1.147,0.759,1.171,0.734
6,1.141,0.764,1.171,0.735
7,1.136,0.77,1.162,0.741
8,1.131,0.775,1.16,0.742
9,1.123,0.783,1.159,0.743
10,1.12,0.786,1.157,0.747
11,1.116,0.79,1.15,0.751
12,1.113,0.793,1.154,0.748
13,1.111,0.795,1.147,0.756
14,1.109,0.797,1.154,0.748
15,1.105,0.802,1.15,0.753
16,1.104,0.803,1.15,0.753
17,1.102,0.805,1.147,0.759
18,1.101,0.806,1.143,0.762
19,1.1,0.807,1.147,0.757
20,1.098,0.808,1.151,0.75
