Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.318,0.587,1.263,0.649
2,1.234,0.673,1.245,0.662
3,1.217,0.69,1.238,0.667
4,1.207,0.699,1.233,0.67
5,1.2,0.705,1.231,0.674
6,1.195,0.71,1.232,0.671
7,1.191,0.712,1.221,0.683
8,1.188,0.716,1.227,0.672
9,1.184,0.721,1.22,0.685
10,1.18,0.725,1.217,0.686
11,1.176,0.728,1.224,0.679
12,1.174,0.731,1.218,0.686
13,1.171,0.734,1.225,0.675
14,1.168,0.738,1.219,0.685
15,1.166,0.739,1.22,0.679
16,1.163,0.743,1.215,0.688
17,1.16,0.746,1.215,0.685
18,1.158,0.748,1.213,0.689
19,1.156,0.75,1.214,0.689
20,1.153,0.754,1.213,0.687
