Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.251,0.663,1.198,0.709
2,1.184,0.72,1.186,0.721
3,1.166,0.74,1.173,0.733
4,1.156,0.749,1.172,0.732
5,1.145,0.76,1.163,0.74
6,1.138,0.767,1.16,0.742
7,1.134,0.77,1.154,0.75
8,1.127,0.778,1.162,0.744
9,1.123,0.783,1.163,0.739
10,1.12,0.786,1.155,0.748
11,1.118,0.788,1.157,0.745
12,1.114,0.793,1.151,0.75
13,1.112,0.794,1.149,0.756
14,1.109,0.797,1.148,0.755
15,1.108,0.798,1.145,0.758
16,1.105,0.801,1.148,0.754
17,1.103,0.804,1.146,0.756
18,1.101,0.804,1.147,0.755
19,1.1,0.806,1.146,0.757
20,1.097,0.809,1.149,0.754
