Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.303,0.603,1.253,0.652
2,1.227,0.679,1.243,0.656
3,1.214,0.688,1.237,0.66
4,1.206,0.697,1.243,0.655
5,1.198,0.706,1.239,0.661
6,1.193,0.711,1.232,0.667
7,1.188,0.715,1.225,0.674
8,1.183,0.72,1.226,0.672
9,1.179,0.724,1.224,0.676
10,1.175,0.73,1.22,0.68
11,1.171,0.733,1.227,0.674
12,1.167,0.738,1.225,0.674
13,1.164,0.74,1.222,0.675
14,1.161,0.744,1.229,0.669
15,1.158,0.747,1.224,0.676
16,1.154,0.751,1.222,0.681
17,1.152,0.754,1.224,0.674
18,1.151,0.754,1.219,0.683
19,1.148,0.759,1.223,0.679
20,1.146,0.76,1.222,0.679
