Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.259,0.652,1.205,0.709
2,1.186,0.723,1.19,0.715
3,1.166,0.744,1.177,0.726
4,1.156,0.754,1.172,0.739
5,1.15,0.759,1.173,0.73
6,1.145,0.764,1.176,0.728
7,1.141,0.766,1.166,0.738
8,1.137,0.77,1.167,0.733
9,1.134,0.773,1.165,0.739
10,1.132,0.776,1.157,0.746
11,1.128,0.779,1.163,0.741
12,1.126,0.782,1.156,0.749
13,1.123,0.785,1.16,0.744
14,1.121,0.787,1.158,0.748
15,1.117,0.792,1.157,0.747
16,1.113,0.797,1.156,0.746
17,1.111,0.798,1.154,0.749
18,1.109,0.8,1.153,0.75
19,1.107,0.804,1.154,0.749
20,1.105,0.805,1.157,0.747
