Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.305,0.598,1.255,0.65
2,1.229,0.676,1.243,0.663
3,1.213,0.69,1.238,0.661
4,1.201,0.704,1.23,0.673
5,1.195,0.709,1.23,0.671
6,1.186,0.719,1.231,0.67
7,1.179,0.726,1.224,0.675
8,1.175,0.729,1.231,0.668
9,1.171,0.735,1.226,0.677
10,1.167,0.737,1.225,0.674
11,1.163,0.742,1.221,0.678
12,1.16,0.745,1.228,0.671
13,1.157,0.749,1.218,0.68
14,1.154,0.751,1.222,0.679
15,1.152,0.755,1.224,0.677
16,1.149,0.757,1.227,0.671
17,1.147,0.761,1.221,0.68
18,1.144,0.762,1.228,0.672
19,1.142,0.764,1.229,0.673
20,1.14,0.766,1.227,0.674
