Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.262,0.648,1.209,0.695
2,1.181,0.723,1.187,0.715
3,1.163,0.744,1.18,0.723
4,1.153,0.753,1.17,0.734
5,1.145,0.76,1.169,0.73
6,1.138,0.767,1.166,0.734
7,1.132,0.773,1.168,0.733
8,1.127,0.778,1.158,0.743
9,1.123,0.784,1.168,0.735
10,1.119,0.788,1.157,0.747
11,1.116,0.791,1.155,0.749
12,1.113,0.794,1.153,0.749
13,1.109,0.798,1.153,0.75
14,1.107,0.8,1.153,0.75
15,1.103,0.805,1.155,0.747
16,1.1,0.807,1.15,0.751
17,1.099,0.808,1.152,0.748
18,1.099,0.808,1.151,0.753
19,1.096,0.811,1.146,0.757
20,1.095,0.813,1.152,0.75
