Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.23,0.675,1.191,0.712
2,1.168,0.736,1.184,0.712
3,1.154,0.75,1.185,0.718
4,1.144,0.76,1.158,0.747
5,1.137,0.767,1.182,0.716
6,1.129,0.775,1.176,0.724
7,1.121,0.784,1.155,0.744
8,1.115,0.792,1.153,0.749
9,1.112,0.794,1.151,0.752
10,1.108,0.797,1.15,0.756
11,1.105,0.801,1.156,0.746
12,1.101,0.805,1.148,0.753
13,1.097,0.809,1.149,0.753
14,1.096,0.81,1.144,0.76
15,1.094,0.811,1.151,0.75
16,1.092,0.813,1.146,0.759
17,1.089,0.818,1.15,0.752
18,1.088,0.818,1.143,0.759
19,1.087,0.819,1.144,0.759
20,1.085,0.822,1.145,0.76
