Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.284,0.621,1.251,0.653
2,1.221,0.681,1.235,0.667
3,1.206,0.697,1.235,0.666
4,1.2,0.704,1.231,0.667
5,1.191,0.711,1.226,0.676
6,1.185,0.719,1.232,0.667
7,1.18,0.725,1.227,0.671
8,1.173,0.732,1.214,0.69
9,1.169,0.736,1.215,0.688
10,1.166,0.738,1.219,0.68
11,1.162,0.743,1.214,0.687
12,1.158,0.747,1.207,0.697
13,1.154,0.751,1.208,0.691
14,1.15,0.754,1.205,0.696
15,1.147,0.758,1.21,0.693
16,1.145,0.76,1.207,0.696
17,1.142,0.764,1.2,0.704
18,1.141,0.765,1.207,0.692
19,1.138,0.768,1.201,0.702
20,1.135,0.771,1.203,0.699
