Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.251,0.659,1.208,0.7
2,1.194,0.713,1.2,0.702
3,1.179,0.726,1.19,0.712
4,1.168,0.739,1.178,0.728
5,1.159,0.749,1.178,0.725
6,1.154,0.754,1.18,0.722
7,1.149,0.758,1.173,0.73
8,1.145,0.762,1.17,0.731
9,1.143,0.765,1.176,0.727
10,1.135,0.771,1.169,0.734
11,1.133,0.774,1.173,0.728
12,1.128,0.78,1.167,0.736
13,1.125,0.782,1.166,0.738
14,1.124,0.785,1.169,0.737
15,1.122,0.785,1.168,0.738
16,1.12,0.789,1.169,0.731
17,1.119,0.79,1.162,0.741
18,1.117,0.791,1.158,0.746
19,1.116,0.792,1.16,0.74
20,1.115,0.793,1.159,0.741
