Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.462,0.418,1.352,0.544
2,1.299,0.603,1.295,0.604
3,1.275,0.626,1.306,0.601
4,1.268,0.632,1.29,0.606
5,1.262,0.638,1.283,0.615
6,1.255,0.645,1.278,0.619
7,1.253,0.647,1.272,0.622
8,1.25,0.649,1.275,0.621
9,1.245,0.654,1.274,0.622
10,1.245,0.656,1.274,0.622
11,1.242,0.657,1.287,0.607
12,1.24,0.66,1.273,0.619
13,1.237,0.662,1.261,0.633
14,1.236,0.663,1.262,0.634
15,1.234,0.667,1.272,0.623
16,1.232,0.668,1.26,0.637
17,1.231,0.669,1.259,0.635
18,1.229,0.672,1.249,0.65
19,1.228,0.673,1.258,0.642
20,1.225,0.677,1.255,0.644
