Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.371,0.53,1.283,0.621
2,1.237,0.667,1.227,0.68
3,1.212,0.693,1.216,0.692
4,1.203,0.7,1.212,0.695
5,1.199,0.704,1.209,0.691
6,1.195,0.709,1.209,0.692
7,1.189,0.714,1.202,0.699
8,1.184,0.719,1.203,0.701
9,1.18,0.724,1.201,0.701
10,1.177,0.727,1.2,0.703
11,1.175,0.728,1.199,0.701
12,1.17,0.735,1.186,0.712
13,1.163,0.741,1.189,0.714
14,1.161,0.744,1.194,0.71
15,1.157,0.748,1.185,0.715
16,1.154,0.749,1.174,0.727
17,1.152,0.753,1.175,0.73
18,1.151,0.755,1.178,0.72
19,1.148,0.758,1.177,0.722
20,1.146,0.759,1.174,0.728
