Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.297,0.601,1.272,0.63
2,1.245,0.654,1.262,0.634
3,1.232,0.668,1.251,0.649
4,1.221,0.68,1.265,0.63
5,1.216,0.685,1.253,0.648
6,1.209,0.694,1.25,0.65
7,1.206,0.696,1.241,0.661
8,1.2,0.703,1.257,0.643
9,1.196,0.707,1.238,0.658
10,1.192,0.71,1.236,0.659
11,1.187,0.715,1.245,0.655
12,1.186,0.717,1.247,0.648
13,1.183,0.719,1.244,0.654
14,1.178,0.726,1.238,0.662
15,1.176,0.728,1.235,0.668
16,1.172,0.732,1.225,0.672
17,1.169,0.734,1.237,0.664
18,1.167,0.737,1.236,0.664
19,1.163,0.741,1.229,0.673
20,1.161,0.743,1.23,0.671
