Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.249,0.653,1.207,0.694
2,1.182,0.72,1.184,0.72
3,1.168,0.733,1.177,0.723
4,1.161,0.741,1.18,0.722
5,1.154,0.748,1.181,0.721
6,1.147,0.755,1.171,0.727
7,1.14,0.763,1.169,0.73
8,1.135,0.768,1.176,0.724
9,1.134,0.768,1.172,0.729
10,1.128,0.774,1.165,0.737
11,1.124,0.779,1.162,0.741
12,1.123,0.781,1.169,0.728
13,1.121,0.783,1.16,0.743
14,1.118,0.787,1.161,0.737
15,1.115,0.789,1.152,0.751
16,1.114,0.79,1.155,0.746
17,1.113,0.791,1.153,0.749
18,1.109,0.795,1.164,0.738
19,1.109,0.797,1.162,0.739
20,1.108,0.797,1.163,0.737
