Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.314,0.598,1.236,0.677
2,1.223,0.689,1.216,0.692
3,1.206,0.705,1.21,0.699
4,1.197,0.714,1.203,0.706
5,1.191,0.719,1.199,0.706
6,1.185,0.722,1.195,0.708
7,1.178,0.732,1.195,0.709
8,1.173,0.738,1.186,0.717
9,1.169,0.741,1.181,0.722
10,1.166,0.745,1.187,0.72
11,1.163,0.747,1.179,0.726
12,1.161,0.748,1.182,0.725
13,1.159,0.751,1.178,0.727
14,1.158,0.753,1.18,0.727
15,1.156,0.754,1.179,0.724
16,1.154,0.757,1.178,0.725
17,1.153,0.758,1.179,0.725
18,1.152,0.757,1.175,0.728
19,1.151,0.76,1.177,0.73
20,1.15,0.76,1.178,0.727
