Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.368,0.551,1.315,0.604
2,1.282,0.633,1.29,0.623
3,1.264,0.651,1.28,0.63
4,1.253,0.658,1.276,0.629
5,1.247,0.664,1.272,0.633
6,1.242,0.668,1.268,0.634
7,1.238,0.672,1.269,0.635
8,1.234,0.674,1.267,0.632
9,1.232,0.676,1.264,0.638
10,1.229,0.68,1.264,0.639
11,1.227,0.683,1.265,0.636
12,1.225,0.684,1.264,0.635
13,1.223,0.687,1.262,0.636
14,1.222,0.687,1.263,0.637
15,1.221,0.69,1.26,0.644
16,1.219,0.69,1.259,0.642
17,1.218,0.691,1.259,0.644
18,1.217,0.692,1.26,0.641
19,1.216,0.693,1.258,0.643
20,1.215,0.695,1.26,0.642
