Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.268,0.633,1.249,0.649
2,1.221,0.68,1.262,0.637
3,1.209,0.692,1.243,0.655
4,1.198,0.702,1.229,0.671
5,1.189,0.712,1.224,0.674
6,1.186,0.715,1.227,0.674
7,1.18,0.721,1.232,0.664
8,1.174,0.728,1.214,0.686
9,1.169,0.734,1.215,0.689
10,1.165,0.738,1.227,0.675
11,1.163,0.74,1.219,0.68
12,1.155,0.749,1.217,0.685
13,1.155,0.748,1.21,0.692
14,1.15,0.753,1.206,0.698
15,1.147,0.757,1.218,0.683
16,1.145,0.758,1.208,0.693
17,1.14,0.764,1.206,0.695
18,1.139,0.764,1.205,0.697
19,1.136,0.768,1.204,0.699
20,1.132,0.772,1.2,0.7
