0,0.0,0.5,E5,0,0,0,3
1,0.5,1.0,F5,0,0,0,4
2,1.0,1.5,G5,0,0,0,5
3,1.5,2.0,D5,0,0,0,2
4,2.0,2.5,E5,0,0,0,3
5,2.5,3.0,F5,0,0,0,4
6,3.0,3.5,G5,0,0,0,5
7,3.5,4.0,D5,0,0,0,2
8,4.0,4.5,E5,0,0,0,3
9,4.5,5.0,F5,0,0,0,4
10,5.0,5.5,G5,0,0,0,5
11,5.5,6.0,D5,0,0,0,2
12,6.0,6.5,E5,0,0,0,3
13,6.5,7.0,F5,0,0,0,4
14,7.0,7.5,G5,0,0,0,5
15,7.5,8.0,D5,0,0,0,2
16,8.0,8.5,E4,0,0,0,1
17,8.5,9.0,G4,0,0,0,3
18,9.0,9.5,E4,0,0,0,1
19,9.5,10.0,F4,0,0,0,2
20,10.0,10.5,G4,0,0,0,3
21,12.0,13.0,C5,0,0,0,2
22,13.0,14.0,C5,0,0,0,2
23,18.0,18.5,C4,0,0,0,1
24,18.5,19.0,D4,0,0,0,2
25,19.0,19.5,E4,0,0,0,3
26,19.5,20.0,F4,0,0,0,4
27,20.0,20.5,E4,0,0,0,3
28,20.5,21.0,D4,0,0,0,2
29,21.0,22.0,E4,0,0,0,3
30,22.0,22.5,C4,0,0,0,1
31,22.5,23.0,D4,0,0,0,2
32,23.0,23.5,E4,0,0,0,3
33,23.5,24.0,F4,0,0,0,4
34,24.0,25.0,G4,0,0,0,5
35,25.0,26.0,G4,0,0,0,5
36,26.0,26.5,G4,0,0,0,5
37,26.5,27.0,E4,0,0,0,3
38,27.0,27.5,G4,0,0,0,5
39,27.5,28.0,F4,0,0,0,4
40,28.0,28.5,E4,0,0,0,3
41,28.5,29.0,D4,0,0,0,2
42,29.0,30.0,E4,0,0,0,3
43,30.0,30.5,C4,0,0,0,2
44,30.5,31.0,D4,0,0,0,3
45,31.0,31.5,E4,0,0,0,4
46,31.5,32.0,D4,0,0,0,3
47,32.0,33.0,C4,0,0,0,2
48,33.0,34.0,C4,0,0,0,2
49,36.0,36.5,C4,0,0,0,2
50,36.5,37.0,D4,0,0,0,3
51,37.0,37.5,E4,0,0,0,4
52,37.5,38.0,D4,0,0,0,3
53,38.0,39.0,C4,0,0,0,2
54,39.0,40.0,C4,0,0,0,2
0,8.0,8.5,C4,0,0,1,-5
1,8.5,9.0,D4,0,0,1,-4
2,9.0,9.5,E4,0,0,1,-3
3,9.5,10.0,F4,0,0,1,-2
4,10.0,10.5,E4,0,0,1,-3
5,10.5,11.0,D4,0,0,1,-4
6,11.0,12.0,E4,0,0,1,-3
7,12.0,12.5,C4,0,0,1,-5
8,12.5,13.0,D4,0,0,1,-4
9,13.0,13.5,E4,0,0,1,-3
10,13.5,14.0,F4,0,0,1,-2
11,14.0,15.0,G4,0,0,1,-1
12,15.0,16.0,G4,0,0,1,-1
13,16.0,16.5,G4,0,0,1,-2
14,16.5,17.0,E4,0,0,1,-4
15,17.0,17.5,G4,0,0,1,-2
16,17.5,18.0,F4,0,0,1,-3
17,18.0,18.5,E4,0,0,1,-4
18,18.5,19.0,D4,0,0,1,-5
19,19.0,20.0,E4,0,0,1,-4
20,20.0,20.5,C4,0,0,1,-5
21,20.5,21.0,D4,0,0,1,-4
22,21.0,21.5,E4,0,0,1,-3
23,21.5,22.0,D4,0,0,1,-4
24,22.0,23.0,C4,0,0,1,-5
25,23.0,24.0,C4,0,0,1,-5
26,24.5,25.0,E3,0,0,1,-1
27,25.0,25.5,C3,0,0,1,-3
28,25.5,26.0,D3,0,0,1,-2
29,26.0,27.0,A2,0,0,1,-5
30,28.0,28.5,A3,0,0,1,-3
31,28.5,29.0,B3,0,0,1,-2
32,29.0,29.5,C4,0,0,1,-1
33,29.5,30.0,D4,0,0,1,-2
34,30.0,30.5,A3,0,0,1,-3
35,30.5,31.0,B3,0,0,1,-2
36,31.0,31.5,C4,0,0,1,-1
37,31.5,32.0,D4,0,0,1,-2
