Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.412,0.489,1.285,0.62
2,1.255,0.65,1.248,0.655
3,1.234,0.673,1.24,0.672
4,1.224,0.683,1.251,0.66
5,1.219,0.686,1.235,0.663
6,1.214,0.691,1.227,0.676
7,1.21,0.694,1.229,0.673
8,1.209,0.693,1.228,0.671
9,1.206,0.698,1.218,0.69
10,1.205,0.698,1.217,0.687
11,1.205,0.7,1.215,0.689
12,1.202,0.701,1.213,0.69
13,1.201,0.703,1.225,0.679
14,1.199,0.704,1.214,0.69
15,1.198,0.706,1.224,0.678
16,1.198,0.706,1.218,0.688
17,1.196,0.707,1.218,0.683
18,1.195,0.709,1.218,0.685
19,1.194,0.71,1.215,0.685
20,1.193,0.712,1.221,0.679
