Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.495,0.392,1.459,0.434
2,1.432,0.46,1.416,0.483
3,1.4,0.495,1.403,0.482
4,1.381,0.516,1.392,0.504
5,1.365,0.534,1.381,0.51
6,1.349,0.552,1.388,0.502
7,1.336,0.565,1.375,0.519
8,1.324,0.578,1.368,0.53
9,1.316,0.587,1.364,0.536
10,1.307,0.595,1.36,0.54
11,1.3,0.605,1.358,0.538
12,1.293,0.611,1.358,0.54
13,1.287,0.619,1.35,0.547
14,1.28,0.626,1.348,0.549
15,1.273,0.633,1.341,0.559
16,1.267,0.639,1.342,0.558
17,1.261,0.646,1.348,0.549
18,1.255,0.651,1.336,0.563
19,1.251,0.656,1.339,0.557
20,1.248,0.658,1.331,0.568
