Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.294,0.611,1.264,0.643
2,1.23,0.673,1.252,0.646
3,1.21,0.694,1.244,0.65
4,1.198,0.704,1.243,0.658
5,1.19,0.712,1.239,0.662
6,1.183,0.721,1.229,0.672
7,1.177,0.726,1.225,0.674
8,1.171,0.734,1.223,0.679
9,1.166,0.739,1.219,0.682
10,1.161,0.744,1.224,0.676
11,1.156,0.749,1.216,0.682
12,1.153,0.752,1.212,0.689
13,1.149,0.756,1.214,0.687
14,1.146,0.759,1.217,0.685
15,1.142,0.765,1.209,0.696
16,1.139,0.769,1.206,0.695
17,1.137,0.768,1.214,0.689
18,1.133,0.774,1.206,0.695
19,1.131,0.775,1.203,0.701
20,1.129,0.777,1.199,0.7
