Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.547,0.324,1.532,0.335
2,1.52,0.354,1.527,0.348
3,1.512,0.364,1.524,0.345
4,1.506,0.371,1.521,0.351
5,1.499,0.384,1.517,0.351
6,1.492,0.389,1.512,0.363
7,1.486,0.399,1.506,0.377
8,1.48,0.407,1.507,0.373
9,1.473,0.414,1.502,0.382
10,1.466,0.424,1.496,0.386
11,1.459,0.434,1.491,0.395
12,1.451,0.444,1.49,0.395
13,1.443,0.453,1.485,0.402
14,1.436,0.463,1.484,0.404
15,1.429,0.469,1.476,0.414
16,1.421,0.478,1.471,0.417
17,1.413,0.487,1.466,0.422
18,1.406,0.496,1.461,0.434
19,1.399,0.503,1.457,0.434
20,1.39,0.514,1.459,0.432
