Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.499,0.386,1.473,0.415
2,1.452,0.439,1.446,0.441
3,1.428,0.466,1.437,0.448
4,1.41,0.485,1.426,0.464
5,1.396,0.501,1.411,0.481
6,1.387,0.511,1.405,0.489
7,1.378,0.521,1.408,0.486
8,1.37,0.529,1.406,0.483
9,1.36,0.54,1.39,0.506
10,1.354,0.547,1.393,0.499
11,1.346,0.556,1.384,0.511
12,1.338,0.564,1.384,0.507
13,1.331,0.572,1.37,0.522
14,1.323,0.582,1.366,0.528
15,1.317,0.588,1.364,0.536
16,1.311,0.593,1.362,0.535
17,1.303,0.602,1.357,0.544
18,1.298,0.607,1.353,0.549
19,1.292,0.613,1.362,0.534
20,1.288,0.617,1.348,0.554
