Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.338,0.561,1.24,0.662
2,1.223,0.68,1.226,0.684
3,1.209,0.694,1.21,0.693
4,1.201,0.701,1.215,0.68
5,1.197,0.705,1.204,0.697
6,1.195,0.708,1.196,0.705
7,1.187,0.715,1.194,0.702
8,1.186,0.716,1.203,0.695
9,1.184,0.717,1.19,0.715
10,1.18,0.723,1.198,0.695
11,1.178,0.724,1.187,0.714
12,1.177,0.726,1.198,0.704
13,1.174,0.728,1.19,0.708
14,1.172,0.731,1.19,0.71
15,1.17,0.732,1.178,0.726
16,1.167,0.736,1.181,0.719
17,1.167,0.736,1.183,0.717
18,1.166,0.737,1.186,0.717
19,1.162,0.741,1.173,0.729
20,1.162,0.741,1.182,0.722
