Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.499,0.369,1.344,0.559
2,1.307,0.594,1.319,0.581
3,1.288,0.611,1.293,0.609
4,1.279,0.619,1.301,0.592
5,1.276,0.623,1.297,0.603
6,1.268,0.631,1.299,0.598
7,1.267,0.63,1.293,0.6
8,1.263,0.638,1.289,0.608
9,1.261,0.637,1.285,0.615
10,1.257,0.641,1.284,0.609
11,1.255,0.644,1.286,0.608
12,1.25,0.649,1.289,0.612
13,1.25,0.647,1.285,0.61
14,1.245,0.654,1.278,0.618
15,1.244,0.655,1.285,0.609
16,1.241,0.659,1.268,0.633
17,1.24,0.66,1.277,0.62
18,1.237,0.662,1.288,0.608
19,1.234,0.667,1.271,0.628
20,1.234,0.667,1.268,0.628
