Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.262,0.642,1.203,0.7
2,1.191,0.713,1.189,0.713
3,1.175,0.73,1.18,0.725
4,1.162,0.743,1.177,0.725
5,1.153,0.75,1.174,0.725
6,1.146,0.759,1.167,0.731
7,1.141,0.764,1.172,0.727
8,1.137,0.768,1.159,0.744
9,1.133,0.772,1.163,0.741
10,1.131,0.773,1.16,0.741
11,1.127,0.778,1.158,0.746
12,1.124,0.783,1.154,0.751
13,1.123,0.782,1.166,0.734
14,1.12,0.786,1.155,0.749
15,1.119,0.787,1.156,0.745
16,1.117,0.789,1.155,0.749
17,1.114,0.791,1.158,0.743
18,1.113,0.793,1.157,0.746
19,1.112,0.794,1.148,0.755
20,1.111,0.796,1.152,0.751
