Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.313,0.592,1.266,0.636
2,1.247,0.654,1.259,0.641
3,1.234,0.669,1.246,0.654
4,1.225,0.678,1.245,0.653
5,1.218,0.684,1.239,0.663
6,1.213,0.69,1.243,0.657
7,1.209,0.694,1.241,0.657
8,1.204,0.699,1.238,0.663
9,1.2,0.703,1.243,0.656
10,1.197,0.707,1.238,0.66
11,1.194,0.711,1.237,0.66
12,1.191,0.713,1.239,0.661
13,1.189,0.715,1.235,0.666
14,1.187,0.718,1.233,0.666
15,1.184,0.722,1.235,0.665
16,1.183,0.723,1.235,0.667
17,1.18,0.725,1.233,0.666
18,1.178,0.728,1.237,0.662
19,1.177,0.728,1.236,0.662
20,1.175,0.73,1.232,0.666
