Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.231,0.679,1.186,0.718
2,1.169,0.737,1.18,0.721
3,1.154,0.751,1.167,0.735
4,1.144,0.761,1.169,0.732
5,1.136,0.767,1.163,0.735
6,1.129,0.775,1.163,0.737
7,1.123,0.783,1.16,0.74
8,1.116,0.79,1.166,0.736
9,1.112,0.792,1.148,0.753
10,1.11,0.794,1.156,0.748
11,1.107,0.798,1.145,0.756
12,1.103,0.802,1.153,0.748
13,1.101,0.804,1.15,0.751
14,1.099,0.807,1.152,0.746
15,1.098,0.807,1.147,0.754
16,1.095,0.809,1.151,0.752
17,1.093,0.812,1.147,0.757
18,1.091,0.815,1.147,0.755
19,1.089,0.817,1.153,0.746
20,1.088,0.818,1.152,0.751
