Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.284,0.621,1.248,0.657
2,1.222,0.68,1.245,0.651
3,1.208,0.695,1.23,0.669
4,1.199,0.704,1.232,0.67
5,1.192,0.71,1.235,0.665
6,1.186,0.718,1.22,0.682
7,1.182,0.721,1.219,0.682
8,1.177,0.727,1.22,0.682
9,1.173,0.731,1.219,0.681
10,1.169,0.736,1.221,0.681
11,1.165,0.74,1.212,0.688
12,1.162,0.742,1.21,0.691
13,1.159,0.745,1.209,0.691
14,1.157,0.748,1.206,0.695
15,1.153,0.751,1.206,0.697
16,1.15,0.754,1.211,0.689
17,1.149,0.757,1.211,0.69
18,1.145,0.761,1.213,0.69
19,1.141,0.764,1.208,0.694
20,1.139,0.766,1.215,0.686
