Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.259,0.65,1.207,0.698
2,1.19,0.715,1.187,0.72
3,1.171,0.733,1.183,0.721
4,1.164,0.74,1.185,0.719
5,1.155,0.751,1.178,0.726
6,1.146,0.758,1.166,0.737
7,1.141,0.765,1.168,0.736
8,1.136,0.77,1.17,0.731
9,1.132,0.773,1.165,0.74
10,1.129,0.776,1.164,0.74
11,1.126,0.78,1.16,0.743
12,1.124,0.782,1.166,0.737
13,1.121,0.786,1.162,0.743
14,1.118,0.787,1.161,0.741
15,1.116,0.79,1.158,0.746
16,1.114,0.793,1.16,0.74
17,1.112,0.795,1.161,0.742
18,1.111,0.795,1.166,0.735
19,1.108,0.799,1.163,0.735
20,1.107,0.8,1.156,0.749
