Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.312,0.591,1.275,0.628
2,1.245,0.658,1.261,0.64
3,1.232,0.67,1.256,0.644
4,1.224,0.679,1.252,0.651
5,1.217,0.685,1.255,0.643
6,1.215,0.687,1.249,0.649
7,1.208,0.695,1.252,0.648
8,1.205,0.7,1.246,0.654
9,1.2,0.704,1.249,0.651
10,1.198,0.706,1.248,0.652
11,1.194,0.71,1.242,0.657
12,1.192,0.711,1.251,0.646
13,1.189,0.715,1.243,0.657
14,1.186,0.718,1.245,0.657
15,1.184,0.721,1.24,0.658
16,1.181,0.723,1.237,0.666
17,1.181,0.723,1.241,0.655
18,1.178,0.727,1.243,0.653
19,1.175,0.731,1.243,0.659
20,1.172,0.732,1.238,0.662
