Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.236,0.67,1.194,0.707
2,1.169,0.737,1.178,0.724
3,1.154,0.749,1.168,0.735
4,1.145,0.76,1.173,0.731
5,1.137,0.768,1.16,0.746
6,1.13,0.774,1.172,0.73
7,1.122,0.783,1.156,0.744
8,1.116,0.789,1.156,0.747
9,1.111,0.794,1.152,0.749
10,1.107,0.799,1.16,0.739
11,1.103,0.804,1.159,0.743
12,1.099,0.807,1.158,0.743
13,1.096,0.81,1.157,0.744
14,1.094,0.812,1.151,0.752
15,1.092,0.816,1.152,0.747
16,1.089,0.817,1.156,0.746
17,1.087,0.819,1.145,0.759
18,1.084,0.822,1.151,0.747
19,1.083,0.823,1.147,0.756
20,1.081,0.826,1.151,0.749
