Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.292,0.613,1.265,0.639
2,1.228,0.676,1.248,0.653
3,1.211,0.692,1.237,0.661
4,1.199,0.705,1.239,0.661
5,1.19,0.714,1.239,0.659
6,1.185,0.719,1.237,0.665
7,1.178,0.727,1.227,0.672
8,1.171,0.733,1.223,0.678
9,1.166,0.74,1.219,0.681
10,1.161,0.744,1.217,0.683
11,1.158,0.747,1.224,0.676
12,1.154,0.751,1.22,0.682
13,1.151,0.754,1.216,0.684
14,1.147,0.759,1.213,0.688
15,1.145,0.76,1.212,0.689
16,1.142,0.763,1.208,0.695
17,1.139,0.768,1.21,0.69
18,1.136,0.769,1.205,0.697
19,1.133,0.774,1.213,0.69
20,1.132,0.774,1.205,0.697
