Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.259,0.65,1.214,0.692
2,1.187,0.717,1.186,0.719
3,1.172,0.732,1.183,0.72
4,1.164,0.74,1.176,0.726
5,1.157,0.748,1.175,0.725
6,1.153,0.751,1.168,0.734
7,1.147,0.756,1.168,0.733
8,1.142,0.764,1.176,0.727
9,1.138,0.766,1.164,0.734
10,1.134,0.77,1.167,0.731
11,1.131,0.774,1.163,0.739
12,1.129,0.775,1.165,0.738
13,1.125,0.781,1.181,0.718
14,1.124,0.781,1.168,0.734
15,1.121,0.784,1.159,0.743
16,1.119,0.786,1.158,0.743
17,1.117,0.79,1.16,0.742
18,1.116,0.79,1.158,0.745
19,1.114,0.793,1.157,0.746
20,1.113,0.792,1.158,0.746
