Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.315,0.588,1.271,0.635
2,1.248,0.656,1.252,0.65
3,1.234,0.67,1.249,0.651
4,1.227,0.675,1.246,0.653
5,1.22,0.685,1.244,0.655
6,1.213,0.69,1.247,0.653
7,1.208,0.696,1.239,0.662
8,1.204,0.701,1.24,0.659
9,1.2,0.705,1.245,0.656
10,1.198,0.706,1.237,0.662
11,1.195,0.71,1.239,0.663
12,1.191,0.713,1.249,0.651
13,1.189,0.716,1.239,0.661
14,1.186,0.719,1.239,0.661
15,1.184,0.721,1.245,0.655
16,1.182,0.723,1.238,0.664
17,1.18,0.726,1.241,0.662
18,1.178,0.727,1.236,0.666
19,1.176,0.73,1.236,0.663
20,1.174,0.732,1.236,0.662
