Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.303,0.599,1.259,0.647
2,1.23,0.675,1.241,0.663
3,1.213,0.692,1.239,0.659
4,1.203,0.7,1.23,0.666
5,1.196,0.708,1.232,0.667
6,1.189,0.714,1.228,0.672
7,1.183,0.721,1.225,0.671
8,1.179,0.726,1.231,0.666
9,1.175,0.728,1.226,0.674
10,1.171,0.733,1.229,0.67
11,1.167,0.739,1.225,0.672
12,1.163,0.741,1.232,0.665
13,1.161,0.744,1.224,0.674
14,1.158,0.747,1.232,0.666
15,1.155,0.751,1.228,0.673
16,1.151,0.754,1.225,0.675
17,1.149,0.757,1.22,0.679
18,1.147,0.759,1.227,0.671
19,1.145,0.761,1.225,0.675
20,1.142,0.764,1.23,0.669
