Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.258,0.657,1.206,0.702
2,1.186,0.721,1.2,0.705
3,1.171,0.734,1.185,0.72
4,1.156,0.749,1.172,0.732
5,1.145,0.759,1.169,0.735
6,1.137,0.769,1.166,0.736
7,1.129,0.777,1.161,0.741
8,1.123,0.784,1.159,0.746
9,1.118,0.787,1.159,0.741
10,1.114,0.792,1.153,0.75
11,1.112,0.794,1.152,0.75
12,1.107,0.8,1.156,0.747
13,1.106,0.8,1.151,0.751
14,1.102,0.804,1.153,0.751
15,1.101,0.806,1.15,0.751
16,1.098,0.808,1.151,0.753
17,1.096,0.812,1.146,0.757
18,1.095,0.812,1.149,0.753
19,1.094,0.814,1.148,0.754
20,1.091,0.817,1.15,0.756
