Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.33,0.584,1.292,0.622
2,1.26,0.652,1.28,0.627
3,1.246,0.664,1.274,0.635
4,1.237,0.671,1.264,0.64
5,1.232,0.674,1.262,0.639
6,1.227,0.68,1.259,0.648
7,1.224,0.683,1.265,0.639
8,1.221,0.688,1.255,0.65
9,1.218,0.689,1.257,0.643
10,1.215,0.692,1.253,0.651
11,1.212,0.695,1.254,0.647
12,1.21,0.696,1.254,0.649
13,1.208,0.699,1.252,0.652
14,1.206,0.704,1.249,0.654
15,1.204,0.705,1.249,0.652
16,1.202,0.706,1.252,0.651
17,1.2,0.71,1.246,0.656
18,1.199,0.71,1.247,0.658
19,1.197,0.712,1.249,0.648
20,1.196,0.714,1.246,0.66
