Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.331,0.57,1.239,0.661
2,1.22,0.685,1.221,0.687
3,1.207,0.698,1.217,0.685
4,1.196,0.709,1.197,0.705
5,1.19,0.712,1.2,0.697
6,1.185,0.717,1.203,0.701
7,1.18,0.722,1.191,0.71
8,1.175,0.726,1.185,0.718
9,1.17,0.733,1.194,0.704
10,1.167,0.736,1.192,0.708
11,1.165,0.738,1.187,0.715
12,1.162,0.742,1.185,0.716
13,1.16,0.742,1.189,0.712
14,1.157,0.748,1.182,0.723
15,1.151,0.754,1.186,0.714
16,1.149,0.757,1.185,0.711
17,1.146,0.757,1.182,0.718
18,1.143,0.762,1.181,0.724
19,1.141,0.764,1.182,0.721
20,1.139,0.766,1.176,0.724
