Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.498,0.379,1.345,0.561
2,1.305,0.596,1.297,0.605
3,1.276,0.625,1.287,0.612
4,1.266,0.635,1.278,0.616
5,1.259,0.642,1.277,0.623
6,1.253,0.647,1.282,0.618
7,1.25,0.65,1.277,0.62
8,1.246,0.652,1.271,0.626
9,1.243,0.657,1.267,0.631
10,1.24,0.661,1.258,0.639
11,1.238,0.662,1.26,0.637
12,1.236,0.663,1.257,0.641
13,1.232,0.668,1.265,0.631
14,1.23,0.671,1.259,0.641
15,1.231,0.669,1.256,0.642
16,1.227,0.674,1.256,0.643
17,1.227,0.673,1.246,0.653
18,1.225,0.676,1.261,0.636
19,1.223,0.679,1.271,0.626
20,1.222,0.679,1.247,0.654
