Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.234,0.672,1.187,0.716
2,1.166,0.738,1.181,0.721
3,1.151,0.754,1.172,0.728
4,1.14,0.765,1.161,0.74
5,1.131,0.773,1.164,0.737
6,1.125,0.779,1.152,0.75
7,1.118,0.787,1.163,0.735
8,1.109,0.797,1.157,0.742
9,1.103,0.803,1.154,0.748
10,1.101,0.805,1.15,0.753
11,1.097,0.81,1.156,0.746
12,1.094,0.812,1.151,0.748
13,1.091,0.815,1.151,0.75
14,1.089,0.817,1.155,0.748
15,1.087,0.82,1.148,0.753
16,1.086,0.82,1.158,0.743
17,1.084,0.823,1.147,0.755
18,1.083,0.824,1.139,0.765
19,1.082,0.823,1.154,0.747
20,1.079,0.827,1.14,0.76
