Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.57,0.29,1.555,0.311
2,1.53,0.341,1.544,0.318
3,1.516,0.359,1.542,0.326
4,1.509,0.371,1.541,0.327
5,1.504,0.378,1.543,0.327
6,1.499,0.384,1.538,0.337
7,1.495,0.39,1.539,0.335
8,1.491,0.396,1.537,0.334
9,1.488,0.399,1.534,0.336
10,1.484,0.404,1.531,0.343
11,1.48,0.409,1.53,0.346
12,1.476,0.414,1.528,0.35
13,1.471,0.419,1.528,0.349
14,1.466,0.425,1.529,0.351
15,1.46,0.433,1.522,0.361
16,1.456,0.438,1.521,0.361
17,1.451,0.444,1.522,0.365
18,1.445,0.452,1.514,0.37
19,1.44,0.457,1.515,0.369
20,1.435,0.464,1.513,0.375
