Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.507,0.376,1.477,0.403
2,1.455,0.436,1.448,0.438
3,1.426,0.466,1.424,0.467
4,1.406,0.491,1.415,0.476
5,1.389,0.509,1.406,0.492
6,1.377,0.522,1.41,0.48
7,1.365,0.534,1.398,0.496
8,1.354,0.546,1.396,0.499
9,1.346,0.557,1.394,0.504
10,1.337,0.564,1.389,0.505
11,1.329,0.575,1.386,0.512
12,1.321,0.583,1.375,0.526
13,1.312,0.593,1.375,0.523
14,1.305,0.601,1.369,0.529
15,1.3,0.604,1.371,0.526
16,1.293,0.613,1.363,0.533
17,1.287,0.618,1.362,0.536
18,1.281,0.626,1.352,0.548
19,1.276,0.631,1.353,0.544
20,1.271,0.635,1.354,0.546
