Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.31,0.591,1.265,0.636
2,1.244,0.659,1.25,0.65
3,1.232,0.67,1.248,0.648
4,1.223,0.679,1.252,0.647
5,1.218,0.684,1.243,0.655
6,1.212,0.69,1.244,0.654
7,1.207,0.696,1.243,0.654
8,1.205,0.699,1.239,0.658
9,1.2,0.702,1.243,0.658
10,1.198,0.705,1.233,0.668
11,1.195,0.71,1.237,0.663
12,1.192,0.713,1.242,0.656
13,1.19,0.715,1.239,0.662
14,1.187,0.718,1.236,0.665
15,1.184,0.722,1.253,0.645
16,1.183,0.721,1.241,0.659
17,1.181,0.724,1.237,0.665
18,1.178,0.726,1.237,0.659
19,1.177,0.728,1.236,0.663
20,1.175,0.731,1.238,0.661
