Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.291,0.612,1.267,0.63
2,1.227,0.675,1.245,0.654
3,1.209,0.695,1.241,0.654
4,1.198,0.705,1.236,0.662
5,1.191,0.712,1.231,0.664
6,1.184,0.72,1.23,0.671
7,1.177,0.726,1.228,0.672
8,1.173,0.73,1.226,0.676
9,1.168,0.737,1.224,0.678
10,1.164,0.74,1.229,0.668
11,1.159,0.747,1.219,0.681
12,1.156,0.749,1.221,0.679
13,1.152,0.753,1.218,0.683
14,1.149,0.757,1.219,0.686
15,1.145,0.761,1.222,0.679
16,1.142,0.764,1.211,0.688
17,1.139,0.767,1.207,0.694
18,1.136,0.769,1.211,0.69
19,1.134,0.772,1.209,0.692
20,1.131,0.776,1.209,0.693
