Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.237,0.671,1.194,0.713
2,1.172,0.733,1.181,0.723
3,1.157,0.747,1.173,0.731
4,1.146,0.759,1.171,0.726
5,1.14,0.765,1.176,0.724
6,1.132,0.773,1.167,0.732
7,1.126,0.78,1.156,0.748
8,1.116,0.79,1.15,0.754
9,1.111,0.796,1.158,0.746
10,1.106,0.801,1.153,0.753
11,1.101,0.805,1.159,0.745
12,1.099,0.806,1.151,0.751
13,1.096,0.81,1.151,0.754
14,1.094,0.812,1.147,0.757
15,1.092,0.814,1.162,0.741
16,1.089,0.818,1.144,0.757
17,1.087,0.82,1.149,0.753
18,1.085,0.821,1.15,0.752
19,1.084,0.822,1.15,0.751
20,1.082,0.824,1.155,0.749
