Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.403,0.497,1.273,0.633
2,1.238,0.672,1.234,0.671
3,1.216,0.692,1.232,0.671
4,1.208,0.698,1.225,0.678
5,1.203,0.703,1.22,0.68
6,1.199,0.706,1.214,0.69
7,1.197,0.709,1.217,0.687
8,1.195,0.708,1.214,0.685
9,1.192,0.713,1.213,0.689
10,1.19,0.713,1.21,0.695
11,1.19,0.714,1.215,0.688
12,1.188,0.718,1.209,0.694
13,1.186,0.718,1.213,0.694
14,1.184,0.722,1.214,0.688
15,1.182,0.723,1.213,0.688
16,1.179,0.725,1.209,0.691
17,1.177,0.728,1.202,0.697
18,1.174,0.729,1.203,0.705
19,1.172,0.734,1.197,0.706
20,1.169,0.738,1.189,0.716
