Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.583,0.267,1.588,0.261
2,1.417,0.482,1.347,0.56
3,1.313,0.594,1.308,0.598
4,1.293,0.609,1.311,0.582
5,1.285,0.616,1.308,0.59
6,1.278,0.624,1.292,0.606
7,1.275,0.627,1.29,0.61
8,1.27,0.63,1.284,0.614
9,1.268,0.632,1.28,0.623
10,1.264,0.639,1.276,0.625
11,1.261,0.64,1.277,0.619
12,1.26,0.641,1.283,0.61
13,1.258,0.644,1.271,0.629
14,1.256,0.646,1.278,0.615
15,1.255,0.646,1.286,0.607
16,1.252,0.648,1.271,0.628
17,1.25,0.653,1.28,0.618
18,1.25,0.651,1.279,0.621
19,1.249,0.652,1.263,0.639
20,1.246,0.655,1.267,0.632
