Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.583,0.267,1.588,0.264
2,1.406,0.488,1.331,0.568
3,1.307,0.596,1.317,0.579
4,1.295,0.607,1.31,0.586
5,1.288,0.611,1.293,0.601
6,1.284,0.616,1.291,0.611
7,1.281,0.618,1.288,0.613
8,1.28,0.619,1.296,0.6
9,1.278,0.62,1.285,0.619
10,1.275,0.623,1.286,0.612
11,1.273,0.625,1.283,0.618
12,1.272,0.628,1.286,0.609
13,1.272,0.625,1.285,0.614
14,1.269,0.63,1.282,0.615
15,1.269,0.629,1.287,0.612
16,1.269,0.628,1.288,0.608
17,1.267,0.632,1.286,0.615
18,1.265,0.634,1.279,0.617
19,1.266,0.634,1.283,0.61
20,1.266,0.632,1.277,0.622
